Date,Open,High,Low,Close,Volume
2024-01-30,50.93,50.93,50.23,50.23,733465
2024-01-31,50.32,50.85,49.44,49.44,1098018
2024-02-01,49.53,50.67,49.53,50.5,592985
2024-02-02,50.58,50.85,50.06,50.06,544853
2024-02-05,50.23,50.41,49.97,50.06,883732
2024-02-06,50.06,50.41,49.88,50.32,671760
2024-02-07,50.32,50.85,50.14,50.76,569318
2024-02-15,50.85,51.64,50.85,51.29,865475
2024-02-16,51.37,51.55,50.76,50.93,1079912
2024-02-19,50.93,51.02,50.23,50.85,1269141
2024-02-20,51.2,52.34,50.93,51.46,1644045
2024-02-21,51.81,51.81,50.85,51.02,1133039
2024-02-22,51.02,51.37,50.85,50.93,789630
2024-02-23,50.93,51.11,49.97,50.06,1500691
2024-02-26,50.23,50.41,49.53,49.71,810486
2024-02-27,49.71,49.71,49.0,49.44,1760729
2024-02-28,49.62,50.67,49.62,50.67,1091315
2024-02-29,50.93,51.99,50.85,51.37,2672516
2024-03-01,51.64,51.72,51.02,51.46,848894
2024-03-04,51.55,51.81,51.11,51.2,1253807
2024-03-05,51.29,51.72,50.85,51.72,1004691
2024-03-06,51.99,54.27,51.9,53.83,4282708
2024-03-07,53.83,54.71,52.95,53.22,2510848
2024-03-08,53.48,53.66,52.25,52.69,1826294
2024-03-11,52.69,53.13,51.81,52.08,2347402
2024-03-12,52.08,52.69,51.81,51.9,1291139
2024-03-13,52.08,52.34,51.46,52.34,1487461
2024-03-14,52.6,52.69,51.55,51.55,1459529
2024-03-15,51.55,51.64,50.41,50.93,2038776
2024-03-18,51.02,51.46,49.27,49.79,1834550
2024-03-19,50.32,50.41,49.71,49.97,654999
2024-03-20,50.06,50.14,49.53,49.97,740367
2024-03-21,50.41,50.58,50.14,50.23,738922
2024-03-22,50.5,50.58,50.14,50.32,699223
2024-03-25,50.32,50.67,49.88,50.06,1086958
2024-03-26,50.06,50.23,49.71,49.97,911011
2024-03-27,50.06,50.76,49.97,50.5,599038
2024-03-28,50.5,50.5,49.97,50.23,1075768
2024-03-29,50.41,50.41,49.79,49.79,619285
2024-04-01,49.79,50.14,49.71,49.88,601752
2024-04-02,49.97,49.97,49.44,49.53,1027947
2024-04-03,49.53,49.79,49.18,49.18,1442526
2024-04-04,49.35,49.71,49.35,49.62,992434
2024-04-05,49.62,49.62,49.27,49.27,948368
2024-04-08,49.35,49.35,48.56,48.56,1059929
2024-04-09,48.65,48.74,48.21,48.3,1019501
2024-04-10,48.56,48.74,48.39,48.56,523727
2024-04-11,48.39,48.83,48.3,48.65,494541
2024-04-12,48.74,49.44,48.65,49.18,957696
2024-04-15,49.18,49.18,47.86,48.3,928473
2024-04-16,48.3,48.3,46.54,48.12,1106910
2024-04-17,48.12,48.21,47.42,47.42,365654
2024-04-19,47.16,47.33,45.67,46.1,1186092
2024-04-22,46.89,47.16,46.54,46.72,357262
2024-04-23,46.98,47.07,45.93,46.54,374165
2024-04-24,46.81,47.25,46.63,47.07,467705
2024-04-25,47.07,48.74,47.07,47.77,1108298
2024-04-26,47.77,48.56,47.51,47.77,705831
2024-05-02,47.95,49.79,47.86,49.71,1581939
2024-05-03,50.06,50.14,49.71,49.79,785771
2024-05-06,49.79,50.5,49.62,50.06,885971
2024-05-07,50.06,50.85,49.62,50.67,914627
2024-05-08,50.58,52.69,50.06,51.72,2245283
2024-05-09,51.72,51.81,50.5,50.58,1041286
2024-05-10,50.67,51.02,50.32,50.58,785226
2024-05-13,50.58,50.85,49.79,49.97,726625
2024-05-14,50.06,50.5,49.97,50.14,479856
2024-05-15,50.23,50.93,50.23,50.58,897218
2024-05-16,50.67,51.02,50.5,50.5,770210
2024-05-17,50.76,51.72,50.5,51.02,1435808
2024-05-20,51.02,51.64,50.76,50.76,669938
2024-05-21,50.76,51.64,50.5,50.93,1172188
2024-05-22,51.2,51.46,50.5,50.5,928020
2024-05-23,50.76,52.43,50.5,52.25,1913528
2024-05-24,52.25,52.25,50.76,50.93,1323587
2024-05-27,50.93,51.46,50.93,51.37,654768
2024-05-28,51.55,53.57,51.29,53.57,2527809
2024-05-29,53.57,53.83,52.95,53.13,1469001
